sys_cpu,gpudetect???13532@@cpu,mediasdk_server???20492@@cpu,parfait_crash_handler???11812@@cpu,parfait_crash_handler???11252@@cpu,tiktok_live_studio???22828@@cpu,tiktok_live_studio???17312@@cpu,tiktok_live_studio???21900@@cpu,tiktok_live_studio???24944@@cpu,tiktok_live_studio???20276@@cpu,tiktok_live_studio???8216@@cpu,tiktok_live_studio???4716@@cpu,tiktok_live_studio???8248@@cpu,tiktok_live_studio???19500@@cpu,tiktok_live_studio???4272@@cpu,tiktok_live_studio???15084@@cpu,tiktok_live_studio???10704@@cpu,tiktok_live_studio???5804@@cpu,tiktok_live_studio???11164@@cpu,total_cpu
26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.91,0,0.08,0,0,0.08,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0.31
36.31,0,0.08,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0.93
24.62,0,0.16,0,0,0.08,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.87
24.39,0,0.16,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.94
24.97,0,0,0,0,0.08,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.38
25,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.31
28.43,0,0,0,0,0.08,1.02,0,0,0.16,0,0,0,0,0,0.08,0,0,0,1.33
28.89,0,0.15,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0.7
23.99,0,0.08,0,0,0,0.77,0,0,0.08,0,0,0,0,0,0,0.08,0,0,1
26,0,0.15,0,0,0.39,0.54,0,0,0,0,0,0,0,0,0,0,0,0,1.08
25.64,0,0.08,0,0,0,0.79,0,0,0.24,0,0,0.08,0,0,0,0,0,0,1.19
24.73,0,0.31,0,0,0,0.55,0.08,0,0.16,0,0,0,0,0,0.08,0,0,0,1.17
27.37,0,0.15,0,0,0.15,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.76
26.58,0.08,0.46,0,0,0.08,0.54,0,0,0.08,0,0,0,0,0,0,0,0,0,1.24
28.03,0,0.39,0,0,0,0.55,0.08,0,0.31,0,0,0,0,0,0,0,0,0,1.33
25.97,0,0.55,0,0,0.23,0.31,0.08,0,0,0.08,0,0,0,0,0,0,0,0,1.25
27.63,0,0,0,0,0,0.32,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0.48
25.39,0,0,0,0,0,0.85,0.08,0,0,0,0,0,0,0,2.39,0,0,2.54,5.85
25.75,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0.08,0,0,0.62
