gpudetect???13532@@io_read,mediasdk_server???20492@@io_read,parfait_crash_handler???11812@@io_read,parfait_crash_handler???11252@@io_read,tiktok_live_studio???22828@@io_read,tiktok_live_studio???17312@@io_read,tiktok_live_studio???21900@@io_read,tiktok_live_studio???24944@@io_read,tiktok_live_studio???20276@@io_read,tiktok_live_studio???8216@@io_read,tiktok_live_studio???4716@@io_read,tiktok_live_studio???8248@@io_read,tiktok_live_studio???19500@@io_read,tiktok_live_studio???4272@@io_read,tiktok_live_studio???15084@@io_read,tiktok_live_studio???10704@@io_read,tiktok_live_studio???5804@@io_read,tiktok_live_studio???11164@@io_read,total_io_read
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.58,3.04,0.07,0,0.16,0.01,0,0,0,0,0.01,0,0,0,6.88
0,0,0,0,1.28,3.07,0.02,0,0.14,0,0,0.01,0,0,0.03,0,0,0,4.56
0,0,0,0,0.54,3.47,0.01,0,0.14,0,0,0,0,0,0.02,0,0,0,4.2
0,0,0,0,0.26,3.41,0.05,0,0.14,0.01,0,0,0,0,0.02,0,0,0,3.89
0,0,0,0,0.21,3.36,0.03,0,0.16,0,0,0,0,0,0.03,0,0,0,3.82
0,0,0,0,3.58,3.41,0.06,0,0.15,0.01,0,0,0,0,0.02,0,0,0.01,7.25
0,0,0,0,1.38,3.53,0.07,0,0.18,0,0,0.01,0,0,0.04,0,0,0.02,5.25
0,0,0,0,0.52,3.38,0.01,0,0.13,0,0,0,0,0,0.02,0,0,0,4.08
0,0,0,0,0.24,3.35,0.01,0,0.12,0.06,0,0,0,0,0.01,0,0,0,3.81
0,0,0,0,0.25,3.47,0.06,0,0.14,0,0,0,0,0,0.02,0,0,0,3.96
0,0,0,0,3.64,3.47,0.07,0,0.18,0.32,0,0,0,0,0.02,0.01,0,0.01,7.73
0,0,0,0,1.37,3.28,0.05,0,0.17,0.01,0,0.01,0,0,0.04,0,0,0,4.94
0,0,0,0,0.65,3.42,0.07,0,0.14,0.01,0,0,0,0,0.02,0.01,0,0.01,4.33
0,0,0,0,0.15,3.49,0,0,0.11,0.01,0,0,0,0,0.01,0,0,0,3.8
0,0,0,0,0.27,3.42,0.07,0,0.16,0,0,0,0,0,0.03,0,0,0,3.97
0,0,0,0,3.55,3.51,0.04,0,0.15,0.01,0,0,0,0,0.02,0,0,0,7.29
0,0,0,0,1.43,3.35,0.07,0,0.15,0,0,0.53,0,0,0.02,0,0,0,5.58
0,0,0,0,0.8,3.58,0.1,0,0.15,0.01,0,0,0,0,4.79,0,0,4.28,13.72
